"datum";"exc_id";"brand2011";"zone";"beh_typ";"andere";"fijne_grassen";"heide";"pijpenstro"
2011-08-09;"LV1";"ja";7;"BGR";0;0;0;3
2011-08-09;"LV1";"ja";8;"BGR";0;0;0;0,5
2011-08-09;"LV1";"ja";9;"BGR";0;0;0;15
2011-08-09;"LV2";"nee";1;"EXC";0;0;3;0
2011-08-09;"LV2";"nee";1;"EXC";0;0;0;45
2011-08-09;"LV2";"nee";2;"EXC";0;0;0;15
2011-08-09;"LV2";"nee";3;"EXC";0;0;0;25
2011-08-09;"LV2";"nee";3;"EXC";0;0;0,5;0
2011-08-09;"LV2";"nee";4;"EXC";0;0;0;35
2011-08-09;"LV2";"nee";4;"EXC";0;0;0,5;0
2011-08-09;"LV2";"nee";5;"EXC";0;0;0;75
2011-08-09;"LV2";"nee";6;"BGR";0;0;0;45
2011-08-09;"LV2";"nee";6;"BGR";0,5;0;3;0
2011-08-09;"LV2";"nee";7;"BGR";0;0;0;25
2011-08-09;"LV2";"nee";7;"BGR";3;0;3;0
2011-08-09;"LV2";"nee";8;"BGR";0;0;0;45
2011-08-09;"LV2";"nee";9;"BGR";0;0;0;25
2011-09-26;"GB1";"nee";1;"EXC";3;0;0;0
2011-09-26;"GB1";"nee";1;"EXC";0;15;0;0
2011-09-26;"GB1";"nee";2;"EXC";0,5;0;0;0
2011-09-26;"GB1";"nee";2;"EXC";0;35;0;0
2011-09-26;"GB1";"nee";3;"EXC";3;0;0;0
2011-09-26;"GB1";"nee";3;"EXC";0;85;0;0
2011-06-27;"GB1";"nee";2;"EXC";0;45;0;0
2011-06-27;"GB1";"nee";3;"EXC";3;0;0;0
2011-06-27;"GB1";"nee";3;"EXC";0;45;0;0
2011-06-27;"GB1";"nee";5;"EXC";0;55;0;0
2011-06-27;"GB1";"nee";6;"BGR";0;25;0;0
2011-06-27;"GB1";"nee";7;"BGR";0;35;0;0
2011-06-27;"GB1";"nee";8;"BGR";0,5;0;0;0
2011-06-27;"GB1";"nee";8;"BGR";0;3;0;0
2011-06-27;"GB1";"nee";9;"BGR";25;45;0;0
2011-06-27;"GB2";"nee";1;"EXC";0;15;0;0
2011-06-27;"GB2";"nee";1;"EXC";0;0;0;55
2011-06-27;"GB2";"nee";2;"EXC";0,5;0;0;0
2011-06-27;"GB2";"nee";2;"EXC";0;0;0;95
2011-06-27;"GB2";"nee";3;"EXC";0;0;0;35
2011-06-27;"GB2";"nee";3;"EXC";0;7;0;0
2011-06-27;"GB2";"nee";4;"EXC";0;0;0;95
2011-06-27;"GB2";"nee";4;"EXC";0;3;0;0
2011-06-27;"GB2";"nee";5;"EXC";0;0;0;95
2011-06-27;"GB2";"nee";5;"EXC";0;7;0;0
2011-06-27;"GB2";"nee";6;"BGR";0;0;0;75
2011-06-27;"GB2";"nee";6;"BGR";0;7;0;0
2011-06-27;"GB2";"nee";6;"BGR";3;0;0;0
2011-06-27;"GB2";"nee";7;"BGR";0;7;0;25
2011-06-27;"GB2";"nee";8;"BGR";0;0;0;3
2011-06-27;"GB2";"nee";8;"BGR";0;7;0;0
2011-06-27;"GB2";"nee";9;"BGR";0;0;0;35
2011-06-27;"GB2";"nee";9;"BGR";0;3;0;0
2011-06-27;"WD1";"ja";1;"EXC";0;0;0;3
2011-06-27;"WD1";"ja";2;"EXC";0;0;0;0,5
2011-06-27;"WD1";"ja";4;"EXC";0;0;0;25
2011-06-27;"WD1";"ja";5;"EXC";0;0;0;3
2011-06-27;"WD1";"ja";6;"BGR";0;0;0;3
2011-06-27;"WD1";"ja";7;"BGR";0;0;0;15
2011-06-27;"WD1";"ja";8;"BGR";0;0;0;3
2011-06-27;"WD1";"ja";9;"BGR";0;0;0;15
2011-06-27;"WD2";"ja";2;"EXC";0;0;0;25
2011-06-28;"WD2";"ja";4;"EXC";0;0;0;3
2011-06-28;"WD2";"ja";6;"BGR";0,5;0;0;0
2011-06-28;"WD2";"ja";7;"BGR";0;0;0;3
2011-06-28;"WD2";"ja";8;"BGR";0;0;0;7
2011-06-28;"WD2";"ja";9;"BGR";0;0;0;15
2011-06-28;"LV1";"ja";1;"EXC";0;0;0;7
2011-06-28;"LV1";"ja";2;"EXC";0;0;0;25
2011-06-28;"LV1";"ja";3;"EXC";0;0;0;3
2011-06-28;"LV1";"ja";6;"BGR";0;0;0;25
2011-06-28;"LV1";"ja";7;"BGR";0;0;0;15
2011-06-28;"LV1";"ja";8;"BGR";0;0;0;15
2011-06-28;"LV2";"nee";1;"EXC";0;0;0;35
2011-06-28;"LV2";"nee";2;"EXC";0;0;0;15
2011-06-28;"LV2";"nee";3;"EXC";0;0;0;35
2011-06-28;"LV2";"nee";4;"EXC";0;0;0;45
2011-06-28;"LV2";"nee";5;"EXC";0;0;0;7
2011-06-28;"LV2";"nee";6;"BGR";0;0;0;15
2011-06-28;"LV2";"nee";7;"BGR";0;0;0;15
2011-06-28;"LV2";"nee";8;"BGR";0;0;0;45
2011-06-28;"LV2";"nee";9;"BGR";0;0;0;0,5
2011-06-27;"GB1";"nee";1;"EXC";0;25;0;0
2011-06-27;"GB1";"nee";1;"EXC";7;0;0;0
2011-06-27;"GB1";"nee";4;"EXC";0;25;0;0
2011-07-26;"GB1";"nee";4;"EXC";0,5;0;0;0
2011-08-08;"GB1";"nee";1;"EXC";15;0;0;0
2011-08-08;"GB1";"nee";1;"EXC";0;25;0;0
2011-08-08;"GB1";"nee";2;"EXC";0;25;0;0
2011-08-08;"GB1";"nee";2;"EXC";7;0;0;0
2011-08-08;"GB1";"nee";3;"EXC";7;0;0;0
2011-08-08;"GB1";"nee";3;"EXC";0;55;0;0
2011-08-08;"GB1";"nee";4;"EXC";0;85;0;0
2011-08-08;"GB1";"nee";5;"EXC";0;25;0;0
2011-08-08;"GB1";"nee";6;"BGR";0;25;0;0
2011-08-08;"GB1";"nee";7;"BGR";0;15;0;0
2011-08-08;"GB1";"nee";8;"BGR";0;45;0;0
2011-08-08;"GB1";"nee";8;"BGR";7;0;0;0
2011-08-08;"GB1";"nee";9;"BGR";0;25;0;0
2011-08-08;"GB1";"nee";9;"BGR";0,5;0;0;0
2011-08-08;"GB2";"nee";1;"EXC";0;15;0;0
2011-08-08;"GB2";"nee";1;"EXC";0;0;0;35
2011-08-08;"GB2";"nee";2;"EXC";0;7;0;0
2011-08-08;"GB2";"nee";2;"EXC";0;0;0;25
2011-08-08;"GB2";"nee";3;"EXC";0;0;0;45
2011-08-08;"GB2";"nee";3;"EXC";0;0,5;0;0
2011-08-08;"GB2";"nee";4;"EXC";0;0;0;25
2011-08-08;"GB2";"nee";4;"EXC";0;15;0;0
2011-08-08;"GB2";"nee";5;"EXC";0;0;0;85
2011-08-08;"GB2";"nee";5;"EXC";0;3;0;0
2011-08-08;"GB2";"nee";6;"BGR";0;7;0;0
2011-08-08;"GB2";"nee";6;"BGR";0;0;0;55
2011-08-08;"GB2";"nee";7;"BGR";7;0;0;0
2011-08-08;"GB2";"nee";7;"BGR";0;0;0;25
2011-08-08;"GB2";"nee";7;"BGR";0;15;0;0
2011-08-08;"GB2";"nee";8;"BGR";0;0;0;25
2011-08-08;"GB2";"nee";8;"BGR";0;7;0;0
2011-08-08;"GB2";"nee";9;"BGR";0;3;0;25
2011-08-08;"WD1";"ja";1;"EXC";0;0;0,5;0
2011-08-08;"WD1";"ja";2;"EXC";3;0;0;0
2011-08-08;"WD1";"ja";3;"EXC";0;0;0;3
2011-08-08;"WD1";"ja";4;"EXC";0;0;0,5;0
2011-08-08;"WD1";"ja";4;"EXC";0;0;0;15
2011-08-08;"WD1";"ja";5;"EXC";0;0;0;25
2011-08-08;"WD1";"ja";6;"BGR";0;0;0;15
2011-08-08;"WD1";"ja";7;"BGR";0;0;0;7
2011-08-08;"WD1";"ja";7;"BGR";0;0;0,5;0
2011-08-08;"WD1";"ja";8;"BGR";0;0;0,5;0
