"datum";"y";"m";"exc_id";"zone";"veg_aanw";"beh_typ";"brand2011";"h_gem";"sdev"
"27/06/2011";2011;7;"GB1";"Excl, zone A";"ja";"EXC";"nee";9;1,690969
"27/06/2011";2011;7;"GB1";"Excl, zone D";"ja";"EXC";"nee";10;3,656651
"27/06/2011";2011;7;"GB1";"Excl, zone B";"ja";"EXC";"nee";12;5,319481
"27/06/2011";2011;7;"GB1";"Excl, zone C";"ja";"EXC";"nee";14;6,224636
"27/06/2011";2011;7;"GB1";"Excl, Centrum";"ja";"EXC";"nee";8;3
"27/06/2011";2011;7;"GB1";"Begraasd, A";"ja";"BGR";"nee";8;2,232571
"27/06/2011";2011;7;"GB1";"Begraasd, B";"ja";"BGR";"nee";10;4,567206
"27/06/2011";2011;7;"GB1";"Begraasd, C";"ja";"BGR";"nee";7;2,364285
"27/06/2011";2011;7;"GB1";"Begraasd, D";"ja";"BGR";"nee";8;3,903124
"27/06/2011";2011;7;"GB2";"Excl, zone A";"ja";"EXC";"nee";37;13,28636
"27/06/2011";2011;7;"GB2";"Excl, zone B";"ja";"EXC";"nee";19;4,993746
"27/06/2011";2011;7;"GB2";"Excl, zone C";"ja";"EXC";"nee";37;7,639331
"27/06/2011";2011;7;"GB2";"Excl, zone D";"ja";"EXC";"nee";60;10,6822
"27/06/2011";2011;7;"GB2";"Excl, Centrum";"ja";"EXC";"nee";28;14,50377
"27/06/2011";2011;7;"GB2";"Begraasd, A";"nee";"BGR";"nee";18;8,123076
"27/06/2011";2011;7;"GB2";"Begraasd, B";"ja";"BGR";"nee";10;2,12132
"27/06/2011";2011;7;"GB2";"Begraasd, C";"ja";"BGR";"nee";7;1,445629
"27/06/2011";2011;7;"GB2";"Begraasd, D";"ja";"BGR";"nee";18;8,586872
"27/06/2011";2011;7;"WD1";"Excl, Centrum";"ja";"EXC";"ja";14;6,392134
"27/06/2011";2011;7;"WD1";"Excl, zone A";"ja";"EXC";"nee";3;2,838766
"27/06/2011";2011;7;"WD1";"Excl, zone B";"nee";"EXC";"ja";0;0
"27/06/2011";2011;7;"WD1";"Excl, zone C";"ja";"EXC";"nee";0;0
"27/06/2011";2011;7;"WD1";"Excl, zone D";"ja";"EXC";"nee";10;3,018174
"27/06/2011";2011;7;"WD1";"Begraasd, A";"ja";"BGR";"nee";6;2,106537
"27/06/2011";2011;7;"WD1";"Begraasd, B";"ja";"BGR";"nee";9;2,05776
"27/06/2011";2011;7;"WD1";"Begraasd, C";"ja";"BGR";"ja";10;4,385701
"27/06/2011";2011;7;"WD1";"Begraasd, D";"ja";"BGR";"nee";10;4,408355
"28/06/2011";2011;7;"WD2";"Excl, Centrum";"nee";"EXC";"ja";0;0
"27/06/2011";2011;7;"WD2";"Excl, zone A";"ja";"EXC";"nee";14;5,550901
"28/06/2011";2011;7;"WD2";"Excl, zone B";"nee";"EXC";"ja";0;0
"28/06/2011";2011;7;"WD2";"Excl, zone C";"ja";"EXC";"ja";6;1,089725
"28/06/2011";2011;7;"WD2";"Excl, zone D";"nee";"EXC";"nee";0;0
"28/06/2011";2011;7;"WD2";"Begraasd, A";"ja";"BGR";"nee";8;18,22773
"28/06/2011";2011;7;"WD2";"Begraasd, C";"ja";"BGR";"nee";11;4,602988
"28/06/2011";2011;7;"WD2";"Begraasd, B";"ja";"BGR";"nee";8;2,317562
"28/06/2011";2011;7;"WD2";"Begraasd, D";"ja";"BGR";"nee";10;2,735759
"28/06/2011";2011;7;"LV1";"Excl, Centrum";"ja";"EXC";"nee";14;2,666341
"28/06/2011";2011;7;"LV1";"Excl, zone A";"ja";"EXC";"nee";17;5,206666
