"zone";"exc_id";"beh_typ";"y";"m";"h_gem"
2;"GB1";"EXC";2011;7;9
5;"GB1";"EXC";2011;7;10
3;"GB1";"EXC";2011;7;12
4;"GB1";"EXC";2011;7;14
1;"GB1";"EXC";2011;7;8
6;"GB1";"BGR";2011;7;8
7;"GB1";"BGR";2011;7;10
8;"GB1";"BGR";2011;7;7
9;"GB1";"BGR";2011;7;8
2;"GB2";"EXC";2011;7;37
3;"GB2";"EXC";2011;7;19
4;"GB2";"EXC";2011;7;37
5;"GB2";"EXC";2011;7;60
1;"GB2";"EXC";2011;7;28
6;"GB2";"BGR";2011;7;18
7;"GB2";"BGR";2011;7;10
8;"GB2";"BGR";2011;7;7
9;"GB2";"BGR";2011;7;18
1;"WD1";"EXC";2011;7;14
2;"WD1";"EXC";2011;7;3
3;"WD1";"EXC";2011;7;0
4;"WD1";"EXC";2011;7;0
5;"WD1";"EXC";2011;7;10
6;"WD1";"BGR";2011;7;6
7;"WD1";"BGR";2011;7;9
8;"WD1";"BGR";2011;7;10
9;"WD1";"BGR";2011;7;10
1;"WD2";"EXC";2011;7;0
2;"WD2";"EXC";2011;7;14
3;"WD2";"EXC";2011;7;0
4;"WD2";"EXC";2011;7;6
5;"WD2";"EXC";2011;7;0
6;"WD2";"BGR";2011;7;8
8;"WD2";"BGR";2011;7;11
7;"WD2";"BGR";2011;7;8
9;"WD2";"BGR";2011;7;10
1;"LV1";"EXC";2011;7;14
2;"LV1";"EXC";2011;7;17
3;"LV1";"EXC";2011;7;16
4;"LV1";"EXC";2011;7;0
5;"LV1";"EXC";2011;7;0
6;"LV1";"BGR";2011;7;14
7;"LV1";"BGR";2011;7;17
8;"LV1";"BGR";2011;7;14
9;"LV1";"BGR";2011;7;0
1;"LV2";"EXC";2011;7;15
2;"LV2";"EXC";2011;7;12
3;"LV2";"EXC";2011;7;19
4;"LV2";"EXC";2011;7;15
5;"LV2";"EXC";2011;7;9
6;"LV2";"BGR";2011;7;14
7;"LV2";"BGR";2011;7;13
8;"LV2";"BGR";2011;7;12
9;"LV2";"BGR";2011;7;1
1;"GB1";"EXC";2011;8;22
2;"GB1";"EXC";2011;8;24
3;"GB1";"EXC";2011;8;31
4;"GB1";"EXC";2011;8;12
5;"GB1";"EXC";2011;8;28
6;"GB1";"BGR";2011;8;6
7;"GB1";"BGR";2011;8;7
8;"GB1";"BGR";2011;8;9
9;"GB1";"BGR";2011;8;5
2;"GB2";"EXC";2011;8;47
3;"GB2";"EXC";2011;8;32
4;"GB2";"EXC";2011;8;50
5;"GB2";"EXC";2011;8;67
1;"GB2";"EXC";2011;8;50
6;"GB2";"BGR";2011;8;40
7;"GB2";"BGR";2011;8;21
8;"GB2";"BGR";2011;8;59
9;"GB2";"BGR";2011;8;31
2;"WD1";"EXC";2011;8;0
3;"WD1";"EXC";2011;8;2
4;"WD1";"EXC";2011;8;29
5;"WD1";"EXC";2011;8;49
1;"WD1";"EXC";2011;8;0
6;"WD1";"BGR";2011;8;8
7;"WD1";"BGR";2011;8;9
8;"WD1";"BGR";2011;8;6
9;"WD1";"BGR";2011;8;6
2;"WD2";"EXC";2011;8;10
3;"WD2";"EXC";2011;8;10
4;"WD2";"EXC";2011;8;0
5;"WD2";"EXC";2011;8;8
1;"WD2";"EXC";2011;8;0
6;"WD2";"BGR";2011;8;0
7;"WD2";"BGR";2011;8;10
8;"WD2";"BGR";2011;8;0
9;"WD2";"BGR";2011;8;0
2;"LV1";"EXC";2011;8;37
3;"LV1";"EXC";2011;8;35
4;"LV1";"EXC";2011;8;2
5;"LV1";"EXC";2011;8;0
1;"LV1";"EXC";2011;8;5
6;"LV1";"BGR";2011;8;6
7;"LV1";"BGR";2011;8;5
8;"LV1";"BGR";2011;8;0
9;"LV1";"BGR";2011;8;30
2;"LV2";"EXC";2011;8;5
3;"LV2";"EXC";2011;8;30
4;"LV2";"EXC";2011;8;26
5;"LV2";"EXC";2011;8;65
1;"LV2";"EXC";2011;8;28
6;"LV2";"BGR";2011;8;11
7;"LV2";"BGR";2011;8;13
8;"LV2";"BGR";2011;8;33
9;"LV2";"BGR";2011;8;7
2;"GB1";"EXC";2011;9;12
3;"GB1";"EXC";2011;9;31
4;"GB1";"EXC";2011;9;18
5;"GB1";"EXC";2011;9;11
1;"GB1";"EXC";2011;9;16
6;"GB1";"BGR";2011;9;9
7;"GB1";"BGR";2011;9;8
8;"GB1";"BGR";2011;9;9
9;"GB1";"BGR";2011;9;14
2;"GB2";"EXC";2011;9;60
3;"GB2";"EXC";2011;9;26
4;"GB2";"EXC";2011;9;25
5;"GB2";"EXC";2011;9;62
1;"GB2";"EXC";2011;9;28
6;"GB2";"BGR";2011;9;18
7;"GB2";"BGR";2011;9;27
8;"GB2";"BGR";2011;9;9
9;"GB2";"BGR";2011;9;2
2;"WD1";"EXC";2011;9;0
3;"WD1";"EXC";2011;9;2
4;"WD1";"EXC";2011;9;62
5;"WD1";"EXC";2011;9;13
1;"WD1";"EXC";2011;9;3
6;"WD1";"BGR";2011;9;38
7;"WD1";"BGR";2011;9;39
8;"WD1";"BGR";2011;9;2
5;"WD1";"EXC";2011;9;8
2;"WD2";"EXC";2011;9;13
3;"WD2";"EXC";2011;9;57
4;"WD2";"EXC";2011;9;0
5;"WD2";"EXC";2011;9;15
1;"WD2";"EXC";2011;9;0
6;"WD2";"BGR";2011;9;1
7;"WD2";"BGR";2011;9;0
8;"WD2";"BGR";2011;9;1
9;"WD2";"BGR";2011;9;0
2;"LV1";"EXC";2011;9;39
3;"LV1";"EXC";2011;9;22
4;"LV1";"EXC";2011;9;0
5;"LV1";"EXC";2011;9;0
1;"LV1";"EXC";2011;9;35
6;"LV1";"BGR";2011;9;74
7;"LV1";"BGR";2011;9;15
8;"LV1";"BGR";2011;9;4
9;"LV1";"BGR";2011;9;61
2;"LV2";"EXC";2011;9;19
3;"LV2";"EXC";2011;9;62
4;"LV2";"EXC";2011;9;68
5;"LV2";"EXC";2011;9;50
1;"LV2";"EXC";2011;9;26
6;"LV2";"BGR";2011;9;40
7;"LV2";"BGR";2011;9;12
8;"LV2";"BGR";2011;9;23
9;"LV2";"BGR";2011;9;50
1;"LV2";"EXC";2012;6;NA
5;"LV2";"EXC";2012;6;NA
4;"LV2";"EXC";2012;6;NA
2;"LV2";"EXC";2012;6;NA
3;"LV2";"EXC";2012;6;NA
6;"LV2";"BGR";2012;6;NA
7;"LV2";"BGR";2012;6;NA
8;"LV2";"BGR";2012;6;NA
9;"LV2";"BGR";2012;6;NA
1;"LV1";"EXC";2012;6;NA
2;"LV1";"EXC";2012;6;NA
3;"LV1";"EXC";2012;6;NA
4;"LV1";"EXC";2012;6;NA
5;"LV1";"EXC";2012;6;NA
6;"LV1";"BGR";2012;6;NA
7;"LV1";"BGR";2012;6;NA
8;"LV1";"BGR";2012;6;NA
9;"LV1";"BGR";2012;6;NA
1;"WD2";"EXC";2012;6;NA
4;"WD2";"EXC";2012;6;NA
5;"WD2";"EXC";2012;6;NA
2;"WD2";"EXC";2012;6;NA
3;"WD2";"EXC";2012;6;NA
7;"WD2";"BGR";2012;6;NA
6;"WD2";"BGR";2012;6;NA
9;"WD2";"BGR";2012;6;NA
8;"WD2";"BGR";2012;6;NA
1;"GB2";"EXC";2012;6;NA
2;"GB2";"EXC";2012;6;NA
3;"GB2";"EXC";2012;6;NA
4;"GB2";"EXC";2012;6;NA
5;"GB2";"EXC";2012;6;NA
8;"GB2";"BGR";2012;6;NA
9;"GB2";"BGR";2012;6;NA
6;"GB2";"BGR";2012;6;NA
7;"GB2";"BGR";2012;6;NA
1;"WD1";"EXC";2012;6;NA
2;"WD1";"EXC";2012;6;NA
3;"WD1";"EXC";2012;6;NA
4;"WD1";"EXC";2012;6;NA
5;"WD1";"EXC";2012;6;NA
8;"WD1";"BGR";2012;6;NA
