"zone";"exc_id";"beh_typ";"y";"m";"sdev"
2;"GB1";"EXC";2011;7;1,690969
5;"GB1";"EXC";2011;7;3,656651
3;"GB1";"EXC";2011;7;5,319481
4;"GB1";"EXC";2011;7;6,224636
1;"GB1";"EXC";2011;7;3
6;"GB1";"BGR";2011;7;2,232571
7;"GB1";"BGR";2011;7;4,567206
8;"GB1";"BGR";2011;7;2,364285
9;"GB1";"BGR";2011;7;3,903124
2;"GB2";"EXC";2011;7;13,28636
3;"GB2";"EXC";2011;7;4,993746
4;"GB2";"EXC";2011;7;7,639331
5;"GB2";"EXC";2011;7;10,6822
1;"GB2";"EXC";2011;7;14,50377
6;"GB2";"BGR";2011;7;8,123076
7;"GB2";"BGR";2011;7;2,12132
8;"GB2";"BGR";2011;7;1,445629
9;"GB2";"BGR";2011;7;8,586872
1;"WD1";"EXC";2011;7;6,392134
2;"WD1";"EXC";2011;7;2,838766
3;"WD1";"EXC";2011;7;0
4;"WD1";"EXC";2011;7;0
5;"WD1";"EXC";2011;7;3,018174
6;"WD1";"BGR";2011;7;2,106537
7;"WD1";"BGR";2011;7;2,05776
8;"WD1";"BGR";2011;7;4,385701
9;"WD1";"BGR";2011;7;4,408355
1;"WD2";"EXC";2011;7;0
2;"WD2";"EXC";2011;7;5,550901
3;"WD2";"EXC";2011;7;0
4;"WD2";"EXC";2011;7;1,089725
5;"WD2";"EXC";2011;7;0
6;"WD2";"BGR";2011;7;18,22773
8;"WD2";"BGR";2011;7;4,602988
7;"WD2";"BGR";2011;7;2,317562
9;"WD2";"BGR";2011;7;2,735759
1;"LV1";"EXC";2011;7;2,666341
2;"LV1";"EXC";2011;7;5,206666
3;"LV1";"EXC";2011;7;3,297726
4;"LV1";"EXC";2011;7;0
5;"LV1";"EXC";2011;7;0
6;"LV1";"BGR";2011;7;4,84768
7;"LV1";"BGR";2011;7;8,631112
8;"LV1";"BGR";2011;7;6,372549
9;"LV1";"BGR";2011;7;0
1;"LV2";"EXC";2011;7;5,754075
2;"LV2";"EXC";2011;7;2,811111
3;"LV2";"EXC";2011;7;6,253749
4;"LV2";"EXC";2011;7;4,240799
5;"LV2";"EXC";2011;7;2,735759
6;"LV2";"BGR";2011;7;3,361082
