ID_Exclosure_opname;Datum;jaar;maand;ID_Exclosure;ID_Exclosure_zone;Deelgebied;Vegetatie aanwezig;Begraasd/Niet Begr;Afgebrand 2011;Opmerking;Afstand_m;Hoek_gr;Bedekking mos;Bedekking kale bodem;strooisel ingezameld;bodemstalen ingezameld;H1_cm;H2_cm;H3_cm;H4_cm;H5_cm;H6_cm;H7_cm;H8_cm;H_gemd;Sdev
1;27/06/2011;2011;7;1;Excl, zone A;GB;WAAR;NB;ONWAAR;;;;90-100;< 1;WAAR;WAAR;7,5;10;10;8,5;10;5,5;7;10,5;9;1,690969
2;27/06/2011;2011;7;1;Excl, zone D;GB;WAAR;NB;ONWAAR;;0;0;90-100;< 1;WAAR;WAAR;9,5;6;15;14;8;9;13;4;10;3,656651
3;27/06/2011;2011;7;1;Excl, zone B;GB;WAAR;NB;ONWAAR;;;;90-100;< 1;WAAR;WAAR;11;22,5;18;5;8;11;8,5;13;12;5,319481
4;27/06/2011;2011;7;1;Excl, zone C;GB;WAAR;NB;ONWAAR;;;;80-90;nvt;WAAR;WAAR;13;21;14,5;5,5;12,5;11;9,5;26,5;14;6,224636
5;27/06/2011;2011;7;1;Excl, Centrum;GB;WAAR;NB;ONWAAR;;;;50-60;20-30;WAAR;WAAR;9;8;14;10;11;6;4;6;8;3
6;27/06/2011;2011;7;1;Begraasd, A;GB;WAAR;B;ONWAAR;;6,2;200;80-90;< 1;WAAR;WAAR;6;7;6;5;11;11;6;9;8;2,232571
7;27/06/2011;2011;7;1;Begraasd, B;GB;WAAR;B;ONWAAR;;11,1;295;20-30;50-60;WAAR;WAAR;10;8;14;9;19;10;6;3;10;4,567206
8;27/06/2011;2011;7;1;Begraasd, C;GB;WAAR;B;ONWAAR;;20,7;81,5;90-100;1-5;WAAR;WAAR;8;8;4,5;5,5;11,5;4;6,5;4,5;7;2,364285
9;27/06/2011;2011;7;1;Begraasd, D;GB;WAAR;B;ONWAAR;;11,2;160;10-20;10-20;WAAR;WAAR;8;9;16;10;11;6;4;3;8;3,903124
10;27/06/2011;2011;7;2;Excl, zone A;GB;WAAR;NB;ONWAAR;;0;0;70-80;5-10;WAAR;WAAR;8,5;43;50;25;52;36;40;41;37;13,28636
11;27/06/2011;2011;7;2;Excl, zone B;GB;WAAR;NB;ONWAAR;;0;0;20-30;40-50;WAAR;ONWAAR;20;25;18;22;19;23;8;15;19;4,993746
12;27/06/2011;2011;7;2;Excl, zone C;GB;WAAR;NB;ONWAAR;;0;0;20-30;5-10;WAAR;WAAR;38;25;32;51;33;37;46;35;37;7,639331
13;27/06/2011;2011;7;2;Excl, zone D;GB;WAAR;NB;ONWAAR;;0;0;< 1;1-5;WAAR;WAAR;57;55;63;57;67;82;58;42;60;10,6822
14;27/06/2011;2011;7;2;Excl, Centrum;GB;WAAR;NB;ONWAAR;;0;0;90-100;nvt;ONWAAR;WAAR;23;21;15;33;55;13;47;18;28;14,50377
15;27/06/2011;2011;7;2;Begraasd, A;GB;ONWAAR;B;ONWAAR;;38;128;30-40;1-5;ONWAAR;WAAR;10;11;28;17;31;22;7;21;18;8,123076
16;27/06/2011;2011;7;2;Begraasd, B;GB;WAAR;B;ONWAAR;;54,2;140;< 1;70-80;WAAR;WAAR;9;10;14;12;9;8;7;11;10;2,12132
17;27/06/2011;2011;7;2;Begraasd, C;GB;WAAR;B;ONWAAR;;51,4;152;10-20;80-90;WAAR;WAAR;8,5;8;7;8;5,5;5;5,5;9;7;1,445629
18;27/06/2011;2011;7;2;Begraasd, D;GB;WAAR;B;ONWAAR;;46,5;158;< 1;70-80;WAAR;WAAR;21;24;8;8;7;16;28;29;18;8,586872
19;27/06/2011;2011;7;3;Excl, Centrum;WD;WAAR;NB;WAAR;Verbrand;0;0;nvt;90-100;ONWAAR;WAAR;20;17;23;8;16;5;6;18;14;6,392134
20;27/06/2011;2011;7;3;Excl, zone A;WD;WAAR;NB;ONWAAR;;0;0;nvt;100;ONWAAR;WAAR;5;4;7,5;5;0;0;0;0;3;2,838766
