"";"EXC_ID";"BEH_TYP";"M";"Y";"VEG_TYP";"ADF";"LIG";"DS_105";"N_DS";"NDF";"RE_NIR";"RE_NATCHEM";"VOCHT_105";"HEMCEL";"CEL";"prt_DS";"yearlocation";"monthlocation";"obs_M_Y";"datelocation";"EXC_ID_BEH_TYP"
"1";"LV1";"EXC";"jun";"2013";"S";83,29;19,88;823,21;21,88;131,67;9,33;13,69;176,79;48,38;63,41;82,321;"LV1 2013";"LV1 jun";"jun 2013";"LV1 jun 2013";"LV1 EXC"
"2";"GB2";"BGR";"aug";"2011";"P";72,57;12,83;819,32;40,79;130,75;22,28;25,5;180,68;58,18;59,74;81,932;"GB2 2011";"GB2 aug";"aug 2011";"GB2 aug 2011";"GB2 BGR"
"3";"GB2";"BGR";"aug";"2011";"S";84,27;20,46;819,08;27,6;137,59;13,79;17,25;180,92;53,32;63,81;81,908;"GB2 2011";"GB2 aug";"aug 2011";"GB2 aug 2011";"GB2 BGR"
"4";"GB2";"EXC";"jun";"2011";"P";75,08;13,47;817,57;34,5;133,43;19,56;21,56;182,43;58,35;61,61;81,757;"GB2 2011";"GB2 jun";"jun 2011";"GB2 jun 2011";"GB2 EXC"
"5";"GB2";"BGR";"jun";"2011";"P";75,18;14,12;815,74;44,34;134,52;24,03;27,69;184,26;59,34;61,06;81,574;"GB2 2011";"GB2 jun";"jun 2011";"GB2 jun 2011";"GB2 BGR"
"6";"LV2";"EXC";"jun";"2011";"P";59,89;13,76;809,27;75,83;113,44;42,42;47,38;190,73;53,55;46,13;80,927;"LV2 2011";"LV2 jun";"jun 2011";"LV2 jun 2011";"LV2 EXC"
"7";"GB1";"BGR";"sep";"2011";"A";NA;NA;1000;18,16;NA;NA;11,38;0;NA;NA;100;"GB1 2011";"GB1 sep";"sep 2011";"GB1 sep 2011";"GB1 BGR"
"8";"GB1";"BGR";"sep";"2011";"S";NA;NA;1000;14,26;NA;NA;8,94;0;NA;NA;100;"GB1 2011";"GB1 sep";"sep 2011";"GB1 sep 2011";"GB1 BGR"
"9";"GB1";"BGR";"jun";"2013";"S";NA;NA;1000;12,22;NA;NA;7,63;0;NA;NA;100;"GB1 2013";"GB1 jun";"jun 2013";"GB1 jun 2013";"GB1 BGR"
"10";"GB1";"EXC";"jun";"2011";"A";NA;NA;1000;35,78;NA;NA;22,38;0;NA;NA;100;"GB1 2011";"GB1 jun";"jun 2011";"GB1 jun 2011";"GB1 EXC"
"11";"GB1";"EXC";"sep";"2011";"S";40,56;6,8;1000;16,08;69,25;9,86;10,06;0;28,69;33,76;100;"GB1 2011";"GB1 sep";"sep 2011";"GB1 sep 2011";"GB1 EXC"
"12";"GB2";"BGR";"jun";"2013";"A";NA;NA;1000;21,33;NA;NA;13,31;0;NA;NA;100;"GB2 2013";"GB2 jun";"jun 2013";"GB2 jun 2013";"GB2 BGR"
"13";"LV2";"BGR";"jun";"2013";"F";NA;NA;1000;16,4;NA;NA;10,25;0;NA;NA;100;"LV2 2013";"LV2 jun";"jun 2013";"LV2 jun 2013";"LV2 BGR"
"14";"WD2";"BGR";"jun";"2013";"H";NA;NA;1000;14,51;NA;NA;9,06;0;NA;NA;100;"WD2 2013";"WD2 jun";"jun 2013";"WD2 jun 2013";"WD2 BGR"
"15";"GB1";"EXC";"aug";"2011";"S";NA;NA;941,38;NA;NA;NA;NA;58,62;NA;NA;94,138;"GB1 2011";"GB1 aug";"aug 2011";"GB1 aug 2011";"GB1 EXC"
"16";"WD2";"EXC";"jul";"2013";"F";NA;NA;928,16;NA;NA;NA;NA;71,84;NA;NA;92,816;"WD2 2013";"WD2 jul";"jul 2013";"WD2 jul 2013";"WD2 EXC"
"17";"LV2";"BGR";"aug";"2013";"A";NA;NA;925,96;NA;NA;NA;NA;74,04;NA;NA;92,596;"LV2 2013";"LV2 aug";"aug 2013";"LV2 aug 2013";"LV2 BGR"
"18";"LV1";"BGR";"aug";"2013";"H";36,48;16,35;921,41;NA;51,89;8,74;NA;78,59;15,41;20,13;92,141;"LV1 2013";"LV1 aug";"aug 2013";"LV1 aug 2013";"LV1 BGR"
"19";"GB2";"EXC";"aug";"2013";"F";42,69;5,06;920,99;NA;71,2;8,48;NA;79,01;28,51;37,63;92,099;"GB2 2013";"GB2 aug";"aug 2013";"GB2 aug 2013";"GB2 EXC"
"20";"GB2";"BGR";"aug";"2013";"S";44,21;9,82;918,8;NA;70,49;4,73;NA;81,2;26,28;34,39;91,88;"GB2 2013";"GB2 aug";"aug 2013";"GB2 aug 2013";"GB2 BGR"
"21";"WD2";"EXC";"jul";"2013";"P";48,96;7,44;918,51;7,5;76,71;3,97;4,69;81,49;27,75;41,52;91,851;"WD2 2013";"WD2 jul";"jul 2013";"WD2 jul 2013";"WD2 EXC"
"22";"WD1";"BGR";"jul";"2013";"P";42,79;6,77;917,82;9,06;72,03;5,13;5,69;82,18;29,24;36,02;91,782;"WD1 2013";"WD1 jul";"jul 2013";"WD1 jul 2013";"WD1 BGR"
"23";"WD2";"EXC";"aug";"2013";"S";43,02;9,24;917,62;10,8;69,6;4,41;6,75;82,38;26,58;33,78;91,762;"WD2 2013";"WD2 aug";"aug 2013";"WD2 aug 2013";"WD2 EXC"
"24";"WD1";"EXC";"aug";"2013";"S";46,58;8,15;917,54;6,94;74,61;3,54;4,31;82,46;28,03;38,43;91,754;"WD1 2013";"WD1 aug";"aug 2013";"WD1 aug 2013";"WD1 EXC"
"25";"WD2";"EXC";"aug";"2013";"P";45,96;6,22;917,5;6,73;75,29;3,22;4,19;82,5;29,33;39,74;91,75;"WD2 2013";"WD2 aug";"aug 2013";"WD2 aug 2013";"WD2 EXC"
"26";"WD1";"EXC";"jul";"2013";"P";48,55;7,14;917,02;6,2;77,59;3,33;3,88;82,98;29,04;41,41;91,702;"WD1 2013";"WD1 jul";"jul 2013";"WD1 jul 2013";"WD1 EXC"
"27";"LV2";"BGR";"jun";"2013";"S";47,54;9,26;916,83;6,6;73,94;3,01;4,13;83,17;26,4;38,28;91,683;"LV2 2013";"LV2 jun";"jun 2013";"LV2 jun 2013";"LV2 BGR"
"28";"WD2";"EXC";"jul";"2013";"S";48,05;9,7;916,8;6,16;74,14;3,24;3,88;83,2;26,09;38,35;91,68;"WD2 2013";"WD2 jul";"jul 2013";"WD2 jul 2013";"WD2 EXC"
"29";"LV1";"BGR";"jul";"2013";"P";41,27;6,95;916,47;6,11;70,31;9,85;3,81;83,53;29,04;34,32;91,647;"LV1 2013";"LV1 jul";"jul 2013";"LV1 jul 2013";"LV1 BGR"
"30";"LV1";"BGR";"aug";"2013";"S";43,41;6,44;916,14;8,65;71,22;4,53;5,38;83,86;27,81;36,97;91,614;"LV1 2013";"LV1 aug";"aug 2013";"LV1 aug 2013";"LV1 BGR"
"31";"LV2";"EXC";"aug";"2013";"P";43,4;6,39;915,99;8,73;72,35;4,51;5,44;84,01;28,95;37,01;91,599;"LV2 2013";"LV2 aug";"aug 2013";"LV2 aug 2013";"LV2 EXC"
"32";"LV1";"BGR";"aug";"2013";"P";41,14;6,62;915,43;10,7;69,31;5,98;6,69;84,57;28,17;34,52;91,543;"LV1 2013";"LV1 aug";"aug 2013";"LV1 aug 2013";"LV1 BGR"
"33";"LV2";"BGR";"jul";"2013";"S";45,2;8,62;915,43;6,05;73,33;3,17;3,75;84,57;28,13;36,58;91,543;"LV2 2013";"LV2 jul";"jul 2013";"LV2 jul 2013";"LV2 BGR"
"34";"LV2";"EXC";"aug";"2013";"S";44,65;9,01;915,23;8,25;70,77;3,47;5,13;84,77;26,12;35,64;91,523;"LV2 2013";"LV2 aug";"aug 2013";"LV2 aug 2013";"LV2 EXC"
"35";"LV1";"EXC";"aug";"2013";"P";42,72;6,74;915,2;9,12;71,33;5,38;5,69;84,8;28,61;35,98;91,52;"LV1 2013";"LV1 aug";"aug 2013";"LV1 aug 2013";"LV1 EXC"
"36";"LV1";"BGR";"jun";"2013";"S";45,27;10,1;915,14;6,3;70,98;4,21;3,94;84,86;25,71;35,17;91,514;"LV1 2013";"LV1 jun";"jun 2013";"LV1 jun 2013";"LV1 BGR"
"37";"LV2";"BGR";"jul";"2013";"P";41,12;9,96;915,09;8,68;69,04;5,77;5,44;84,91;27,92;31,16;91,509;"LV2 2013";"LV2 jul";"jul 2013";"LV2 jul 2013";"LV2 BGR"
"38";"WD1";"BGR";"aug";"2013";"P";41,68;5,34;915,08;10,71;71,1;5,61;6,69;84,92;29,42;36,34;91,508;"WD1 2013";"WD1 aug";"aug 2013";"WD1 aug 2013";"WD1 BGR"
