ID;EXC_ID;BEH_TYP;M;Y;VEG_TYP;ADF;ADL;DS_105;N_DS;NDF;RE;RE_DS;VOCHT_105
1;GB1;BGR;jun;2013;A;43,93;13,79;887,12;22,40;58,60;14,77;14,00;112,88
2;GB1;BGR;aug;2011;F;29,78;6,03;898,77;27,69;54,55;16,20;17,31;101,23
3;GB1;BGR;sep;2013;F;37,37;7,67;905,79;14,11;64,05;7,46;8,81;94,21
4;GB1;BGR;aug;2013;F;32,53;6,14;907,19;14,21;59,56;8,68;8,88;92,81
5;GB1;BGR;jul;2013;F;34,04;7,00;909,25;15,12;60,49;8,71;9,44;90,75
6;GB1;BGR;jun;2013;F;31,12;5,50;898,26;23,67;60,08;12,18;14,81;101,74
7;GB1;BGR;jun;2011;A;;;901,25;40,64;;;25,38;98,75
8;GB1;BGR;jun;2011;F;30,79;7,16;899,88;34,99;57,67;19,89;21,88;100,12
9;GB1;BGR;jun;2011;S;42,27;9,56;905,58;15,19;68,71;7,49;9,50;94,42
10;GB1;BGR;sep;2011;A;;;1000,00;18,16;;;11,38;0,00
11;GB1;BGR;sep;2011;F;29,78;5,94;889,52;20,39;55,40;11,83;12,75;110,48
12;GB1;BGR;sep;2011;S;;;1000,00;14,26;;;8,94;0,00
13;GB1;BGR;aug;2013;S;35,57;12,66;902,55;15,40;58,66;8,30;9,63;97,45
14;GB1;BGR;jun;2013;S;;;1000,00;12,22;;;7,63;0,00
15;GB1;EXC;jun;2013;A;45,23;13,36;881,73;17,48;61,16;11,10;10,94;118,27
16;GB1;EXC;aug;2011;A;43,29;14,59;898,76;17,26;56,00;13,33;10,81;101,24
17;GB1;EXC;aug;2011;S;;;941,38;;;;;58,62
18;GB1;EXC;sep;2013;F;38,45;8,13;903,54;11,42;65,49;6,35;7,13;96,46
19;GB1;EXC;aug;2013;F;35,07;6,59;902,85;11,21;60,41;7,91;7,00;97,15
20;GB1;EXC;jul;2013;F;35,35;5,60;909,33;10,85;61,89;6,25;6,81;90,67
21;GB1;EXC;jun;2013;F;31,68;5,30;902,48;17,62;57,58;9,69;11,00;97,52
22;GB1;EXC;jun;2011;A;;;1000,00;35,78;;;22,38;0,00
23;GB1;EXC;jun;2011;F;30,33;6,08;905,07;30,31;56,79;16,94;18,94;94,93
24;GB1;EXC;jun;2011;S;35,99;9,90;902,07;18,61;60,19;9,72;11,63;97,93
25;GB1;EXC;jun;2013;P;34,60;6,34;900,49;24,68;63,23;13,78;15,44;99,51
26;GB1;EXC;sep;2011;A;40,71;12,86;870,42;20,33;54,55;13,66;12,69;129,58
27;GB1;EXC;sep;2011;F;29,91;5,87;894,80;18,51;54,91;10,21;11,56;105,20
28;GB1;EXC;sep;2011;S;40,56;6,80;1000,00;16,08;69,25;9,86;10,06;0,00
29;GB1;EXC;aug;2013;S;35,48;9,84;908,88;12,44;55,32;7,58;7,75;91,12
30;GB1;EXC;jul;2013;S;36,00;9,74;907,06;15,39;59,57;7,29;9,63;92,94
31;GB1;EXC;jun;2013;S;41,35;8,62;904,77;12,86;67,49;5,69;8,06;95,23
32;GB2;BGR;jun;2013;A;;;1000,00;21,33;;;13,31;0,00
33;GB2;BGR;aug;2011;F;37,20;9,59;908,75;16,71;62,12;9,95;10,44;91,25
34;GB2;BGR;aug;2011;F;38,60;7,48;904,24;19,46;66,61;9,82;12,19;95,76
35;GB2;BGR;aug;2011;P;72,57;12,83;1819,32;40,79;130,75;22,28;25,50;180,68
36;GB2;BGR;aug;2011;S;84,27;20,46;1819,08;27,60;137,59;13,79;17,25;180,92
37;GB2;BGR;jun;2013;F;33,29;5,28;894,10;17,25;59,64;9,45;10,81;105,90
38;GB2;BGR;jun;2011;F;36,21;7,11;905,87;22,39;63,03;12,01;14,00;94,13
39;GB2;BGR;jun;2011;P;75,18;14,12;1815,74;44,34;134,52;24,03;27,69;184,26
40;GB2;BGR;jun;2011;S;43,40;10,05;913,79;12,16;69,96;6,44;7,63;86,21
41;GB2;BGR;aug;2013;P;40,85;6,21;911,80;11,15;68,69;6,44;7,00;88,20
42;GB2;BGR;jul;2013;P;37,88;7,22;913,22;12,22;66,73;8,27;7,63;86,78
43;GB2;BGR;jun;2013;P;35,85;7,26;901,28;21,77;63,42;11,35;13,63;98,72
44;GB2;BGR;sep;2013;P;37,97;6,09;902,17;11,48;68,11;7,00;7,19;97,83
45;GB2;BGR;sep;2011;F;33,67;5,83;898,33;24,50;59,94;13,23;15,31;101,67
46;GB2;BGR;sep;2011;H;;;903,84;15,55;;;9,75;96,16
47;GB2;BGR;sep;2011;P;40,99;7,35;907,29;12,09;69,74;6,53;7,56;92,71
48;GB2;BGR;sep;2011;S;42,79;15,77;899,03;15,47;60,74;7,63;9,69;100,97
49;GB2;BGR;aug;2013;S;44,21;9,82;918,80;;70,49;4,73;;81,20
50;GB2;BGR;jul;2013;S;40,00;12,03;910,17;14,03;64,37;7,37;8,75;89,83
51;GB2;BGR;jun;2013;S;38,94;9,61;907,14;13,03;63,55;6,97;8,13;92,86
52;GB2;BGR;sep;2013;S;39,31;9,73;907,25;15,05;64,83;6,78;9,44;92,75
53;GB2;EXC;aug;2011;F;40,31;7,03;908,23;18,66;68,84;9,88;11,69;91,77
54;GB2;EXC;aug;2011;P;40,06;7,48;911,69;17,80;68,89;10,12;11,13;88,31
55;GB2;EXC;aug;2011;S;38,81;14,12;902,68;17,14;58,13;7,47;10,69;97,32
56;GB2;EXC;aug;2013;F;42,69;5,06;920,99;;71,20;8,48;;79,01
57;GB2;EXC;jul;2013;F;38,93;10,70;913,80;17,01;63,90;8,39;10,63;86,20
58;GB2;EXC;jun;2013;F;34,47;5,74;902,86;18,04;61,43;9,48;11,25;97,14
59;GB2;EXC;jun;2011;F;39,33;7,08;908,64;16,04;67,32;8,06;10,00;91,36
60;GB2;EXC;jun;2011;P;75,08;13,47;1817,57;34,50;133,43;19,56;21,56;182,43
61;GB2;EXC;jun;2011;S;42,26;9,76;911,93;11,01;68,89;5,47;6,88;88,07
62;GB2;EXC;aug;2013;P;37,51;6,19;910,50;15,72;65,45;7,93;9,81;89,50
63;GB2;EXC;jul;2013;P;37,11;6,23;911,39;15,24;65,89;9,29;9,50;88,61
64;GB2;EXC;jun;2013;P;35,42;6,26;903,85;21,79;63,35;12,36;13,63;96,15
65;GB2;EXC;sep;2013;P;36,28;6,04;905,35;12,43;63,89;6,41;7,75;94,65
66;GB2;EXC;sep;2011;F;35,81;7,13;895,96;17,06;62,26;10,39;10,69;104,04
67;GB2;EXC;sep;2011;P;34,19;6,34;901,66;21,25;62,34;13,40;13,25;98,34
68;GB2;EXC;sep;2011;S;40,78;10,40;906,97;11,42;65,78;6,51;7,13;93,03
69;GB2;EXC;aug;2013;S;37,03;9,76;911,35;16,15;59,69;7,37;10,06;88,65
70;GB2;EXC;jul;2013;S;38,13;11,03;908,66;13,15;58,85;7,36;8,25;91,34
71;GB2;EXC;jun;2013;S;38,81;9,79;909,24;24,69;63,48;5,60;15,44;90,76
72;GB2;EXC;sep;2013;S;36,84;9,92;904,95;13,38;60,73;6,73;8,38;95,05
73;LV1;BGR;aug;2011;P;37,20;7,72;907,07;24,69;67,09;13,53;15,44;92,93
74;LV1;BGR;jun;2013;F;;;;;;;;
75;LV1;BGR;aug;2013;H;36,48;16,35;921,41;;51,89;8,74;;78,59
76;LV1;BGR;jul;2013;H;;;911,03;;;;;88,97
77;LV1;BGR;jun;2011;P;30,82;7,41;902,64;36,55;56,92;20,74;22,88;97,36
78;LV1;BGR;aug;2013;P;41,14;6,62;915,43;10,70;69,31;5,98;6,69;84,57
79;LV1;BGR;jul;2013;P;41,27;6,95;916,47;6,11;70,31;9,85;3,81;83,53
80;LV1;BGR;jun;2013;P;41,33;6,66;910,46;13,73;69,43;8,88;8,56;89,54
81;LV1;BGR;sep;2011;P;42,59;8,07;910,12;12,07;70,26;8,03;7,56;89,88
82;LV1;BGR;aug;2013;S;43,41;6,44;916,14;8,65;71,22;4,53;5,38;83,86
83;LV1;BGR;jul;2013;S;43,89;9,93;912,05;7,57;70,13;4,17;4,75;87,95
84;LV1;BGR;jun;2013;S;45,27;10,10;915,14;6,30;70,98;4,21;3,94;84,86
85;LV1;EXC;jun;2013;A;19,14;7,68;877,35;20,46;31,95;11,81;12,81;122,65
86;LV1;EXC;aug;2011;P;36,22;5,97;912,17;23,37;64,53;13,70;14,63;87,83
87;LV1;EXC;jul;2013;H;44,60;17,42;904,73;9,58;63,20;4,83;6,00;95,27
88;LV1;EXC;jun;2013;H;28,25;15,27;902,26;13,75;42,75;7,94;8,63;97,74
89;LV1;EXC;jun;2011;P;29,89;6,80;899,50;41,53;56,71;22,98;25,94;100,50
90;LV1;EXC;aug;2013;P;42,72;6,74;915,20;9,12;71,33;5,38;5,69;84,80
91;LV1;EXC;jul;2013;P;39,85;6,50;914,85;11,81;68,03;7,82;7,38;85,15
92;LV1;EXC;jun;2013;P;46,17;7,69;909,92;10,10;74,68;6,43;6,31;90,08
93;LV1;EXC;sep;2013;P;40,83;6,49;911,78;9,99;69,58;5,62;6,25;88,22
94;LV1;EXC;sep;2011;P;40,95;6,78;909,56;16,49;70,68;9,53;10,31;90,44
95;LV1;EXC;aug;2013;S;41,01;11,27;912,41;12,04;65,49;5,73;7,50;87,59
96;LV1;EXC;jul;2013;S;40,18;9,38;911,55;9,97;65,69;5,03;6,25;88,45
97;LV1;EXC;jun;2013;S;83,29;19,88;1823,21;21,88;131,67;9,33;13,69;176,79
98;LV2;BGR;aug;2013;A;;;925,96;;;;;74,04
99;LV2;BGR;jun;2013;A;23,97;7,65;878,58;14,02;38,08;9,94;8,75;121,42
100;LV2;BGR;aug;2011;P;34,15;5,74;909,32;26,40;61,57;15,81;16,50;90,68
101;LV2;BGR;jun;2013;F;;;1000,00;16,40;;;10,25;0,00
102;LV2;BGR;aug;2013;H;45,40;26,88;909,98;;52,19;6,54;;90,02
103;LV2;BGR;jul;2013;H;43,50;26,44;905,17;11,07;50,95;6,94;6,94;94,83
104;LV2;BGR;jun;2013;H;34,32;18,59;902,00;11,79;46,48;7,54;7,38;98,00
